Date,Time,DryBulbCelsius,DryBulbFarenheit
20160313,355,12,54
20160313,415,12,54
20160313,435,12,54
20160313,455,11,52
20160313,515,11,52
20160313,535,11,52
20160313,555,12,54
20160313,615,12,54
20160313,635,13,55
20160313,655,13,55
20160313,715,12,54
20160313,735,13,55
20160313,755,13,55
20160313,815,13,55
20160313,835,13,55
20160313,855,13,55
20160313,915,13,55
20160313,935,14,57
20160313,955,14,57
20160313,1015,14,57
20160313,1035,14,57
20160313,1055,14,57
20160313,1115,14,57
20160313,1135,14,57
20160313,1155,14,57
20160313,1215,14,57
20160313,1235,14,57
20160313,1255,14,57
20160313,1315,14,57
20160313,1335,14,57
20160313,1355,14,57
20160313,1415,14,57
20160313,1435,14,57
20160313,1455,14,57
20160313,1515,14,57
20160313,1535,14,57
20160313,1555,14,57
20160313,1615,14,57
20160313,1635,14,57
20160313,1655,14,57
20160313,1715,14,57
20160313,1735,14,57
20160313,1755,14,57
20160313,1815,14,57
20160313,1835,14,57
20160313,1855,14,57
20160313,1915,14,57
20160313,1935,14,57
20160313,1955,12,54
20160313,2015,12,54
20160313,2035,12,54
20160313,2055,12,54
20160313,2115,12,54
20160313,2135,12,54
20160313,2155,13,55
20160313,2215,12,54
20160313,2235,12,54
20160313,2255,12,54
20160313,2315,12,54
20160313,2335,12,54
20160313,2355,12,54
20160314,15,12,54
20160314,35,12,54
20160314,55,12,54
20160314,115,12,54
20160314,135,12,54
20160314,155,12,54
20160314,215,11,52
20160314,235,10,50
20160314,255,10,50
20160314,315,9,48
20160314,335,9,48
20160314,355,9,48
20160314,415,9,48
20160314,435,9,48
20160314,455,8,46
20160314,515,7,45
20160314,535,7,45
20160314,555,7,45
20160314,615,6,43
20160314,635,5,41
20160314,655,5,41
20160314,715,6,43
20160314,735,8,46
20160314,755,9,48
20160314,815,10,50
20160314,835,10,50
20160314,855,11,52
20160314,915,12,54
20160314,935,12,54
20160314,955,13,55
20160314,1015,13,55
20160314,1035,13,55
20160314,1055,13,55
20160314,1115,13,55
20160314,1135,13,55
20160314,1155,14,57
20160314,1215,14,57
20160314,1235,13,55
20160314,1255,14,57
20160314,1315,14,57
20160314,1335,15,59
20160314,1355,15,59
20160314,1415,15,59
20160314,1435,15,59
20160314,1455,14,57
20160314,1515,15,59
20160314,1535,14,57
20160314,1555,14,57
20160314,1615,14,57
20160314,1635,14,57
20160314,1655,14,57
20160314,1715,13,55
20160314,1735,13,55
20160314,1755,12,54
20160314,1815,11,52
20160314,1835,10,50
20160314,1855,10,50
20160314,1915,9,48
20160314,1935,8,46
20160314,1955,8,46
20160314,2015,8,46
20160314,2035,8,46
20160314,2055,8,46
20160314,2115,8,46
20160314,2135,7,45
20160314,2155,7,45
20160314,2215,7,45
20160314,2235,7,45
20160314,2255,7,45
20160314,2315,7,45
20160314,2335,7,45
20160314,2355,7,45
20160315,15,6,43
20160315,35,6,43
20160315,55,6,43
20160315,115,7,45
20160315,135,6,43
20160315,155,5,41
20160315,215,4,39
20160315,235,5,41
20160315,255,6,43
20160315,315,5,41
20160315,335,6,43
20160315,355,5,41
20160315,415,3,37
20160315,435,4,39
20160315,455,3,37
20160315,515,4,39
20160315,535,3,37
20160315,555,3,37
20160315,615,3,37
20160315,635,2,36
20160315,655,3,37
20160315,715,5,41
20160315,735,6,43
20160315,755,7,45
20160315,815,8,46
20160315,835,8,46
20160315,855,10,50
20160315,915,10,50
20160315,935,12,54
20160315,955,12,54
20160315,1015,13,55
20160315,1035,13,55
20160315,1055,13,55
20160315,1115,14,57
20160315,1135,15,59
20160315,1155,15,59
20160315,1215,16,61
20160315,1235,17,63
20160315,1255,17,63
20160315,1315,17,63
20160315,1335,17,63
20160315,1355,18,64
20160315,1415,18,64
20160315,1435,17,63
20160315,1455,17,63
20160315,1515,17,63
20160315,1535,17,63
20160315,1555,17,63
20160315,1615,17,63
20160315,1635,16,61
20160315,1655,16,61
20160315,1715,15,59
20160315,1735,15,59
20160315,1755,14,57
20160315,1815,13,55
20160315,1835,13,55
20160315,1855,12,54
20160315,1915,10,50
20160315,1935,10,50
20160315,1955,9,48
20160315,2015,9,48
20160315,2035,8,46
20160315,2055,7,45
20160315,2115,8,46
20160315,2135,8,46
20160315,2155,8,46
20160315,2215,8,46
20160315,2235,8,46
20160315,2255,8,46
20160315,2315,8,46
20160315,2335,7,45
20160315,2355,7,45
20160316,15,7,45
20160316,35,5,41
20160316,55,5,41
20160316,115,6,43
20160316,135,5,41
20160316,155,7,45
20160316,215,5,41
20160316,235,5,41
20160316,255,4,39
20160316,315,4,39
20160316,335,4,39
20160316,355,4,39
20160316,415,5,41
20160316,435,4,39
20160316,455,4,39
20160316,515,3,37
20160316,535,4,39
20160316,555,4,39
20160316,615,4,39
20160316,635,4,39
20160316,655,5,41
20160316,715,7,45
20160316,735,8,46
20160316,755,8,46
20160316,815,9,48
20160316,835,10,50
20160316,855,10,50
20160316,915,12,54
20160316,935,13,55
20160316,955,14,57
20160316,1015,15,59
20160316,1035,15,59
20160316,1055,17,63
20160316,1115,17,63
20160316,1715,19,66
20160316,1735,18,64
20160316,1755,17,63
20160316,1815,16,61
20160316,1835,15,59
20160316,1855,13,55
20160316,1915,13,55
20160316,1935,13,55
20160316,1955,11,52
20160316,2015,10,50
20160316,2035,10,50
20160316,2055,10,50
20160316,2115,9,48
20160316,2135,10,50
20160316,2155,10,50
20160316,2215,10,50
20160316,2235,9,48
20160316,2255,9,48
20160316,2315,8,46
20160316,2335,8,46
20160316,2355,8,46
20160317,15,8,46
20160317,35,8,46
20160317,55,7,45
20160317,115,7,45
20160317,135,6,43
20160317,155,6,43
20160317,215,6,43
20160317,235,7,45
20160317,255,5,41
20160317,315,5,41
20160317,335,5,41
20160317,355,5,41
20160317,415,5,41
20160317,435,5,41
20160317,455,5,41
20160317,515,5,41
20160317,535,5,41
20160317,555,6,43
20160317,615,6,43
20160317,635,5,41
20160317,655,6,43
20160317,715,7,45
20160317,735,9,48
20160317,755,10,50
20160317,815,10,50
20160317,835,12,54
20160317,855,13,55
20160317,915,14,57
20160317,935,15,59
20160317,955,16,61
20160317,1015,18,64
20160317,1035,18,64
20160317,1055,19,66
20160317,1115,19,66
20160317,1135,20,68
20160317,1155,20,68
20160317,1215,20,68
20160317,1235,21,70
20160317,1255,21,70
20160317,1315,22,72
20160317,1335,22,72
20160317,1355,22,72
20160317,1415,23,73
20160317,1435,23,73
20160317,1455,23,73
20160317,1515,23,73
20160317,1535,23,73
20160317,1555,23,73
20160317,1615,23,73
20160317,1635,22,72
20160317,1655,21,70
20160317,1715,20,68
20160317,1735,18,64
20160317,1755,18,64
20160317,1815,16,61
20160317,1835,15,59
20160317,1855,13,55
20160317,1915,12,54
20160317,1935,12,54
20160317,1955,12,54
20160317,2015,12,54
20160317,2035,11,52
20160317,2055,11,52
20160317,2115,11,52
20160317,2135,10,50
20160317,2155,10,50
20160317,2215,10,50
20160317,2235,10,50
20160317,2255,10,50
20160317,2315,10,50
20160317,2335,10,50
20160317,2355,10,50
20160318,15,10,50
20160318,35,10,50
20160318,55,10,50
20160318,115,10,50
20160318,135,10,50
20160318,155,10,50
20160318,215,10,50
20160318,235,10,50
20160318,255,10,50
20160318,315,10,50
20160318,335,10,50
20160318,355,10,50
20160318,415,10,50
20160318,435,10,50
20160318,455,10,50
20160318,515,10,50
20160318,535,10,50
20160318,555,10,50
20160318,615,10,50
20160318,635,10,50
20160318,655,10,50
20160318,715,10,50
20160318,735,10,50
20160318,755,10,50
20160318,815,11,52
20160318,835,11,52
20160318,855,11,52
20160318,915,12,54
20160318,935,12,54
20160318,955,12,54
20160318,1015,13,55
20160318,1035,13,55
20160318,1055,13,55
20160318,1115,13,55
20160318,1135,13,55
20160318,1155,14,57
20160318,1215,14,57
20160318,1235,15,59
20160318,1255,15,59
20160318,1315,16,61
20160318,1335,17,63
20160318,1355,17,63
20160318,1415,18,64
20160318,1435,18,64
20160318,1455,17,63
20160318,1515,16,61
20160318,1535,15,59
20160318,1555,15,59
20160318,1615,14,57
20160318,1635,14,57
20160318,1655,13,55
20160318,1715,13,55
20160318,1735,13,55
